,year,smart_institution5,count
1439,2020,University Of Texas Southwestern Medical Center,25
1434,2020,University Of Texas Health Science Center At Houston,25
1078,2019,University Of Colorado Denver,25
1390,2020,University Of California - Los Angeles,25
1274,2020,Medical College Of Wisconsin,25
1268,2020,Massachusetts General Hospital,25
1236,2020,Indiana University School Of Medicine,25
1556,2021,Hospital Of The University Of Pennsylvania,25
798,2018,University Of Wisconsin,24
1113,2019,University Of Texas Southwestern Medical Center,24
485,2017,University Of Pittsburgh,24
1091,2019,University Of Miami,24
2198,2023,University Of Chicago,24
713,2018,Stanford University,24
986,2019,Ohio State University,24
2093,2023,Medical College Of Wisconsin,24
74,2016,Indiana University School Of Medicine,24
613,2018,Hospital Of The University Of Pennsylvania,24
2225,2023,University Of Pittsburgh,23
676,2018,Northwestern University,23
982,2019,Northwestern University,23
339,2017,Massachusetts General Hospital,23
946,2019,Massachusetts General Hospital,23
622,2018,Johns Hopkins University School Of Medicine,23
908,2019,Hospital Of The University Of Pennsylvania,23
521,2017,Yale University School Of Medicine,22
498,2017,University Of Utah,22
1399,2020,University Of Colorado Denver,22
1393,2020,University Of California - San Francisco,22
178,2016,University Of Arizona,22
2185,2023,University Of Arizona,22
152,2016,Stanford University,22
1029,2019,Stanford University,22
2119,2023,Ohio State University,22
96,2016,Massachusetts General Hospital,22
2059,2023,Indiana University School Of Medicine,22
1166,2020,Brigham And Women'S Hospital,22
789,2018,University Of Texas Southwestern Medical Center,21
2240,2023,University Of Texas Southwestern Medical Center,21
777,2018,University Of Pittsburgh,21
1100,2019,University Of Pittsburgh,21
1899,2022,University Of Florida,21
2202,2023,University Of Florida,21
543,2018,Baylor College Of Medicine,21
1665,2021,University Of California - Los Angeles,20
745,2018,University Of Arizona,20
1065,2019,University Of Arizona,20
646,2018,Medical College Of Wisconsin,20
1566,2021,Johns Hopkins University School Of Medicine,20
257,2017,Baylor College Of Medicine,20
1097,2019,University Of North Carolina At Chapel Hill,19
1421,2020,University Of North Carolina At Chapel Hill,19
2219,2023,University Of North Carolina At Chapel Hill,19
1898,2022,University Of Colorado Denver,19
1073,2019,University Of California - San Francisco,19
749,2018,University Of California - Los Angeles,19
102,2016,Medical College Of Wisconsin,19
291,2017,Duke University Medical Center,19
1915,2022,University Of Pittsburgh,18
756,2018,University Of Colorado Denver,18
1668,2021,University Of California - San Francisco,18
451,2017,University Of Arizona,18
1585,2021,Medical College Of Wisconsin,18
1794,2022,Hospital Of The University Of Pennsylvania,18
586,2018,Duke University Medical Center,18
2023,2023,Duke University Medical Center,18
492,2017,University Of Texas Health Science Center At Houston,17
207,2016,University Of Pittsburgh,17
775,2018,University Of North Carolina At Chapel Hill,17
2213,2023,University Of Miami,17
464,2017,University Of Colorado Denver,17
696,2018,Roswell Park Cancer Institute,17
1006,2019,Roswell Park Cancer Institute,17
376,2017,Northwestern University,17
345,2017,Medical College Of Wisconsin,17
1124,2019,Vanderbilt University Medical Center,16
1933,2022,University Of Wisconsin,16
1116,2019,University Of Utah,16
482,2017,University Of North Carolina At Chapel Hill,16
1682,2021,University Of Miami,16
471,2017,University Of Louisville,16
191,2016,University Of Florida,16
465,2017,University Of Florida,16
755,2018,University Of Cincinnati,16
1398,2020,University Of Cincinnati,16
1397,2020,University Of Chicago,16
1385,2020,University Of Arizona,16
2183,2023,University Hospitals Cleveland Medical Center,16
2162,2023,Temple University,16
669,2018,Niigata University Graduate School Of Medical And Dental Sciences,16
265,2017,Brigham And Women'S Hospital,16
1976,2023,Brigham And Women'S Hospital,16
1164,2020,Boston University,16
2269,2023,Yale University School Of Medicine,15
1454,2020,Virginia Commonwealth University,15
1451,2020,Vanderbilt University Medical Center,15
1923,2022,University Of Texas Health Science Center At Houston,15
1905,2022,University Of Miami,15
176,2016,University Of Alabama At Birmingham,15
1036,2019,Temple University,15
1328,2020,Roswell Park Cancer Institute,15
1607,2021,Northwestern University,15
962,2019,Moffitt Cancer Center And Research Institute,15
2065,2023,Johns Hopkins University School Of Medicine,15
318,2017,Indiana University School Of Medicine,15
1226,2020,Harvard Medical School,15
896,2019,Georgetown University Medical Center,15
1957,2023,Aga Khan University Medical College,15
1706,2021,University Of Texas Southwestern Medical Center,14
784,2018,University Of Tennessee Health Science Center,14
1079,2019,University Of Florida,14
1675,2021,University Of Colorado Denver,14
186,2016,University Of Chicago,14
751,2018,University Of California - San Francisco,14
1867,2022,Stanford University,14
341,2017,Mayo Clinic,14
640,2018,Massachusetts General Hospital,14
297,2017,Emory University School Of Medicine,14
1200,2020,Dartmouth Hitchcock Medical Center,14
860,2019,Children'S Hospital Los Angeles,14
1743,2022,Beth Israel Deaconess Medical Center,14
1972,2023,Beth Israel Deaconess Medical Center,14
1459,2020,Washington University In St. Louis,13
221,2016,University Of Virginia,13
793,2018,University Of Utah,13
1114,2019,University Of Toledo Medical Center,13
1927,2022,University Of Texas Southwestern Medical Center,13
214,2016,University Of Texas Health Science Center At Houston,13
785,2018,University Of Texas Health Science Center At Houston,13
1428,2020,University Of South Florida College Of Medicine,13
1077,2019,University Of Cincinnati,13
2194,2023,University Of California - San Francisco,13
1888,2022,University Of Arizona,13
1639,2021,Stanford University,13
141,2016,Saint Barnabas Medical Center,13
400,2017,Roswell Park Cancer Institute,13
1840,2022,Northwestern University,13
315,2017,Howard University College Of Medicine,13
513,2017,Washington University In St. Louis,12
1710,2021,University Of Wisconsin,12
2247,2023,University Of Wisconsin,12
217,2016,University Of Texas Southwestern Medical Center,12
2235,2023,University Of Tennessee Health Science Center,12
1688,2021,University Of North Carolina At Chapel Hill,12
1678,2021,University Of Iowa,12
189,2016,University Of Colorado Denver,12
2193,2023,University Of California - San Diego,12
1389,2020,University Of California - Irvine,12
1611,2021,Ohio State University,12
123,2016,Northwestern University,12
97,2016,Mayo Clinic,12
1579,2021,Massachusetts General Hospital,12
597,2018,Fox Chase Cancer Center,12
882,2019,Duke University Medical Center,12
816,2018,Wright State University,11
811,2018,Weill Cornell Medical College,11
1461,2020,Weill Cornell Medical College,11
228,2016,Virginia Commonwealth University,11
801,2018,Vanderbilt University Medical Center,11
500,2017,University Of Virginia,11
1118,2019,University Of Virginia,11
2243,2023,University Of Utah,11
1432,2020,University Of Tennessee Health Science Center,11
766,2018,University Of Louisville,11
463,2017,University Of Cincinnati,11
183,2016,University Of California - San Francisco,11
1660,2021,University Of Arizona,11
380,2017,Ohio State University,11
973,2019,New Jersey Medical School,11
1295,2020,New Jersey Medical School,11
1831,2022,New Jersey Medical School,11
2099,2023,Moffitt Cancer Center And Research Institute,11
2080,2023,Louisiana State University Health Sciences Center,11
1562,2021,Indiana University School Of Medicine,11
1796,2022,Indiana University School Of Medicine,11
1206,2020,Duke University Medical Center,11
876,2019,Dartmouth Hitchcock Medical Center,11
35,2016,Children'S Mercy Hospital-University Of Missouri Kansas City,11
559,2018,Cedars-Sinai Medical Center,11
1985,2023,Case Western Reserve University School Of Medicine,11
1493,2021,Brigham And Women'S Hospital,11
260,2017,Beth Israel Deaconess Medical Center,11
227,2016,Vanderbilt University Medical Center,10
508,2017,Vanderbilt University Medical Center,10
2244,2023,University Of Vermont College Of Medicine / Fletcher Allen Health Care,10
219,2016,University Of Utah,10
1701,2021,University Of Texas Health Science Center At Houston,10
1918,2022,University Of South Florida College Of Medicine,10
196,2016,University Of Louisville,10
1086,2019,University Of Louisville,10
1085,2019,University Of Kentucky,10
1405,2020,University Of Iowa,10
1676,2021,University Of Florida,10
1893,2022,University Of California - San Francisco,10
459,2017,University Of California - San Diego,10
1892,2022,University Of California - San Diego,10
440,2017,Thomas Jefferson University,10
1050,2019,Thomas Jefferson University,10
1644,2021,Temple University,10
1330,2020,Rush University Medical Center,10
387,2017,Penn State Hershey Medical Center,10
1844,2022,Ohio State University,10
352,2017,Moffitt Cancer Center And Research Institute,10
947,2019,Mayo Clinic,10
615,2018,Howard University College Of Medicine,10
66,2016,Harvard Medical School,10
601,2018,Georgetown University Medical Center,10
1213,2020,Emory University School Of Medicine,10
1774,2022,Duke University Medical Center,10
875,2019,Creighton University Medical Center,10
28,2016,Children'S Hospital Los Angeles,10
270,2017,Cedars-Sinai Medical Center,10
266,2017,Brown University School Of Medicine,10
12,2016,Beth Israel Deaconess Medical Center,10
1741,2022,Baylor College Of Medicine,10
1729,2021,Yale University School Of Medicine,9
1133,2019,Wayne State University,9
809,2018,Washington University In St. Louis,9
2254,2023,Vanderbilt University Medical Center,9
796,2018,University Of Virginia,9
1932,2022,University Of Virginia,9
2245,2023,University Of Virginia,9
1441,2020,University Of Toledo Medical Center,9
788,2018,University Of Texas Medical Branch,9
1437,2020,University Of Texas Medical Branch,9
1108,2019,University Of Tennessee Health Science Center,9
1425,2020,University Of Rochester,9
1691,2021,University Of Pittsburgh,9
1913,2022,University Of North Carolina At Chapel Hill,9
1408,2020,University Of Kentucky,9
734,2018,Thomas Jefferson University,9
435,2017,The Jikei University School Of Medicine,9
1038,2019,Texas Tech University Health Sciences Center,9
370,2017,Niigata University Graduate School Of Medical And Dental Sciences,9
361,2017,Nationwide Children'S Hospital,9
2102,2023,Mount Sinai School Of Medicine,9
72,2016,Howard University College Of Medicine,9
2049,2023,Harvard Medical School,9
1224,2020,Guthrie Clinic,9
1204,2020,Donald And Barbara Zucker School Of Medicine At Hofstra/Northwell,9
1194,2020,Cleveland Clinic,9
1188,2020,Children'S Hospital Los Angeles,9
1178,2020,Cedars-Sinai Medical Center,9
546,2018,Beth Israel Deaconess Medical Center,9
1490,2021,Beth Israel Deaconess Medical Center,9
1472,2020,Wright State University,8
1134,2019,Weill Cornell Medical College,8
1443,2020,University Of Vermont College Of Medicine / Fletcher Allen Health Care,8
1442,2020,University Of Utah,8
1930,2022,University Of Utah,8
2238,2023,University Of Texas Medical Branch,8
1111,2019,University Of Texas Md Anderson Cancer Center,8
1429,2020,University Of Southern California,8
1416,2020,University Of Nebraska College Of Medicine,8
199,2016,University Of Miami,8
1411,2020,University Of Massachusetts Medical School,8
1082,2019,University Of Iowa,8
187,2016,University Of Cincinnati,8
1674,2021,University Of Cincinnati,8
2199,2023,University Of Cincinnati,8
462,2017,University Of Chicago,8
460,2017,University Of California - San Francisco,8
1070,2019,University Of California - Irvine,8
1066,2019,University Of Arkansas For Medical Sciences,8
428,2017,Texas Tech University Health Sciences Center,8
720,2018,Temple University,8
2143,2023,Rutgers Robert Wood Johnson Medical School,8
1618,2021,Penn State Hershey Medical Center,8
369,2017,New York University School Of Medicine,8
668,2018,New York University School Of Medicine,8
2108,2023,New Jersey Medical School,8
656,2018,Mount Sinai School Of Medicine,8
964,2019,Mount Sinai School Of Medicine,8
1826,2022,Mount Sinai School Of Medicine,8
2087,2023,Mayo Clinic,8
912,2019,Howard University College Of Medicine,8
904,2019,Harvard Medical School,8
1553,2021,Harvard Medical School,8
303,2017,Georgetown University Medical Center,8
300,2017,Fox Chase Cancer Center,8
889,2019,Florida Atlantic University,8
55,2016,Emory University School Of Medicine,8
1527,2021,Delray Medical Center,8
1526,2021,Dartmouth Hitchcock Medical Center,8
20,2016,Cedars-Sinai Medical Center,8
18,2016,Carolinas Medical Center,8
557,2018,Carolinas Medical Center,8
1492,2021,Boston University,8
1964,2023,Ann & Robert H. Lurie Children'S Hospital Of Chicago,8
520,2017,Wright State University,7
1132,2019,Washington University In St. Louis,7
509,2017,Virginia Commonwealth University,7
791,2018,University Of Toledo Medical Center,7
2237,2023,University Of Texas Md Anderson Cancer Center,7
491,2017,University Of Tennessee Health Science Center,7
2227,2023,University Of Rochester,7
1914,2022,University Of Oklahoma College Of Medicine,7
2222,2023,University Of Oklahoma College Of Medicine,7
2217,2023,University Of Nebraska College Of Medicine,7
197,2016,University Of Maryland,7
472,2017,University Of Maryland,7
1410,2020,University Of Maryland,7
1409,2020,University Of Louisville,7
765,2018,University Of Kentucky,7
750,2018,University Of California - San Diego,7
1392,2020,University Of California - San Diego,7
1667,2021,University Of California - San Diego,7
181,2016,University Of California - Los Angeles,7
180,2016,University Of California - Davis,7
171,2016,Tufts Medical Center,7
2171,2023,Thomas Jefferson University,7
161,2016,Texas Tech University Health Sciences Center,7
159,2016,Temple University,7
426,2017,Temple University,7
153,2016,State University Of New York At Buffalo,7
1030,2019,State University Of New York At Buffalo,7
2141,2023,Rush University Medical Center,7
2139,2023,Roswell Park Cancer Institute,7
2137,2023,Robert Wood Johnson - Umdnj,7
394,2017,Radboud University Medical Center,7
129,2016,Penn State Hershey Medical Center,7
686,2018,Penn State Hershey Medical Center,7
124,2016,Ohio State University,7
366,2017,New Jersey Medical School,7
1286,2020,Mount Sinai School Of Medicine,7
1819,2022,Medical College Of Wisconsin,7
1817,2022,Massachusetts General Hospital,7
1234,2020,Howard University College Of Medicine,7
62,2016,Georgetown University Medical Center,7
1547,2021,Georgetown University Medical Center,7
891,2019,Fox Chase Cancer Center,7
1220,2020,Fox Chase Cancer Center,7
886,2019,Emory University School Of Medicine,7
1201,2020,Delray Medical Center,7
579,2018,Dartmouth Hitchcock Medical Center,7
2009,2023,Dartmouth Hitchcock Medical Center,7
278,2017,Children'S Mercy Hospital-University Of Missouri Kansas City,7
569,2018,Children'S Mercy Hospital-University Of Missouri Kansas City,7
1191,2020,Children'S Mercy Hospital-University Of Missouri Kansas City,7
564,2018,Children'S Hospital Los Angeles,7
1187,2020,Children'S Hospital Colorado,7
17,2016,Brown University School Of Medicine,7
555,2018,Brown University School Of Medicine,7
849,2019,Brown University School Of Medicine,7
1745,2022,Boston University,7
1152,2020,Ann & Robert H. Lurie Children'S Hospital Of Chicago,7
2268,2023,Wright State University,6
2257,2023,Wake Forest University School Of Medicine,6
1937,2022,Vanderbilt University Medical Center,6
1444,2020,University Of Virginia,6
1709,2021,University Of Virginia,6
216,2016,University Of Texas Medical Branch,6
495,2017,University Of Texas Medical Branch,6
1926,2022,University Of Texas Medical Branch,6
488,2017,University Of Southern California,6
209,2016,University Of South Florida College Of Medicine,6
2230,2023,University Of South Florida College Of Medicine,6
1102,2019,University Of Rochester,6
205,2016,University Of North Carolina At Chapel Hill,6
481,2017,University Of New Mexico Hsc,6
1095,2019,University Of Nebraska College Of Medicine,6
201,2016,University Of Minnesota,6
1414,2020,University Of Minnesota,6
2211,2023,University Of Maryland,6
193,2016,University Of Iowa,6
2205,2023,University Of Iowa,6
466,2017,University Of Illinois At Chicago,6
754,2018,University Of Chicago,6
1673,2021,University Of Chicago,6
1072,2019,University Of California - San Diego,6
1664,2021,University Of California - Irvine,6
2190,2023,University Of California - Irvine,6
1661,2021,University Of Arkansas For Medical Sciences,6
169,2016,Thomas Jefferson University,6
1372,2020,Thomas Jefferson University,6
2161,2023,Suny Downstate Health Sciences University,6
717,2018,Stony Brook University Medical Center,6
1033,2019,Stony Brook University Medical Center,6
1356,2020,Stony Brook University Medical Center,6
715,2018,State University Of New York Downstate Medical Center,6
151,2016,St. Luke'S University Health Network,6
1023,2019,Southern Illinois University School Of Medicine,6
2147,2023,Seattle Children'S Hospital,6
395,2017,Radboudumc,6
999,2019,Radboudumc,6
996,2019,Penn State Hershey Medical Center,6
1320,2020,Penn State Hershey Medical Center,6
2127,2023,Penn State Hershey Medical Center,6
979,2019,North Shore University And Long Island Jewish Medical Center,6
976,2019,New York University School Of Medicine,6
662,2018,Nationwide Children'S Hospital,6
110,2016,Mount Sinai School Of Medicine,6
355,2017,Mount Sinai School Of Medicine,6
1283,2020,Moffitt Cancer Center And Research Institute,6
641,2018,Mayo Clinic,6
1270,2020,Mayo Clinic,6
336,2017,Loyola University Medical Center,6
1261,2020,Loyola University Chicago Stritch School Of Medicine,6
1240,2020,John Hunter Hospital,6
2051,2023,Holy Cross Hospital,6
65,2016,Harbor-Ucla Medical Center,6
1545,2021,Geisinger Medical Center,6
592,2018,Emory University School Of Medicine,6
2028,2023,Emory University School Of Medicine,6
52,2016,East Carolina University Brody School Of Medicine,6
864,2019,Children'S Mercy Hospital-University Of Missouri Kansas City,6
1190,2020,Children'S Mercy Hospital- University Of Missouri Kansas City,6
1994,2023,Children'S Hospital Colorado,6
268,2017,Carolinas Medical Center,6
1176,2020,Carolinas Medical Center,6
1171,2020,Brown University School Of Medicine,6
845,2019,Boston University,6
529,2018,Albert Einstein College Of Medicine,6
1138,2019,Wright State University,5
514,2017,Wayne State University,5
1460,2020,Wayne State University,5
230,2016,Wake Forest University School Of Medicine,5
1456,2020,Wake Forest University School Of Medicine,5
1455,2020,Virginia Tech Carilion School Of Medicine,5
1707,2021,University Of Utah,5
218,2016,University Of Toronto,5
215,2016,University Of Texas Md Anderson Cancer Center,5
1702,2021,University Of Texas Health Science Center At San Antonio,5
212,2016,University Of Tennessee Health Science Center,5
2231,2023,University Of Southern California,5
2228,2023,University Of South Alabama,5
1916,2022,University Of Rochester,5
1422,2020,University Of Oklahoma College Of Medicine,5
1685,2021,University Of Nebraska College Of Medicine,5
1910,2022,University Of Nebraska College Of Medicine,5
1089,2019,University Of Massachusetts Medical School,5
1681,2021,University Of Massachusetts Medical School,5
767,2018,University Of Maryland,5
1679,2021,University Of Kentucky,5
762,2018,University Of Iowa,5
1900,2022,University Of Iowa,5
761,2018,University Of Illinois At Chicago,5
1074,2019,University Of California San Francisco - East Bay,5
748,2018,University Of California - Irvine,5
1663,2021,University Of California - Davis,5
746,2018,University Of Arkansas For Medical Sciences,5
1386,2020,University Of Arkansas For Medical Sciences,5
172,2016,Tulane University School Of Medicine,5
1651,2021,Tulane University School Of Medicine,5
1054,2019,Tufts Medical Center,5
160,2016,Texas Children'S Hospital,5
1037,2019,Texas Children'S Hospital,5
2164,2023,Texas Children'S Hospital,5
154,2016,Stony Brook University Medical Center,5
420,2017,Stony Brook University Medical Center,5
2159,2023,Stony Brook University Medical Center,5
417,2017,State University Of New York At Buffalo,5
1353,2020,State University Of New York At Buffalo,5
1337,2020,Saint Louis University School Of Medicine,5
1626,2021,Rush University Medical Center,5
989,2019,Ohiohealth Grant Medical Center,5
1312,2020,Ohiohealth Grant Medical Center,5
1836,2022,North Shore University And Long Island Jewish Medical Center,5
119,2016,Niigata University Graduate School Of Medical And Dental Sciences,5
977,2019,Niigata University Graduate School Of Medical And Dental Sciences,5
2111,2023,New York University School Of Medicine,5
117,2016,New Jersey Medical School,5
665,2018,New Jersey Medical School,5
113,2016,Nationwide Children'S Hospital,5
969,2019,Nationwide Children'S Hospital,5
2096,2023,Metrohealth Medical Center,5
639,2018,Marshall University School Of Medicine,5
93,2016,Loyola University Medical Center,5
1262,2020,Loyola University Medical Center,5
1574,2021,Loyola University Chicago Stritch School Of Medicine,5
2081,2023,Loyola University Chicago Stritch School Of Medicine,5
334,2017,Louisiana State University Health Sciences Center,5
2077,2023,Lehigh Valley Health Network,5
1233,2020,Houston Methodist Hospital,5
2055,2023,Houston Methodist Hospital,5
1228,2020,Henry Ford Health System,5
1788,2022,Guthrie Robert Packer Hospital,5
1223,2020,Georgetown University Medical Center,5
1778,2022,Emory University School Of Medicine,5
293,2017,East Carolina University Brody School Of Medicine,5
286,2017,Cooper University Hospital,5
1765,2022,Columbia University Irving Medical Center,5
2000,2023,Cincinnati Children'S Hospital Medical Center,5
1515,2021,Children'S Mercy Hospital- University Of Missouri Kansas City,5
272,2017,Children'S Hospital Los Angeles,5
1511,2021,Children'S Hospital Los Angeles,5
563,2018,Children'S Hospital Colorado,5
1186,2020,Children'S Hospital Boston,5
269,2017,Case Western Reserve University School Of Medicine,5
1177,2020,Case Western Reserve University School Of Medicine,5
1980,2023,Brown University School Of Medicine,5
1496,2021,Broward Health Medical Center,5
1979,2023,Broward Health Medical Center,5
1162,2020,Beth Israel Deaconess Medical Center,5
9,2016,Baylor College Of Medicine,5
1150,2020,Albany Medical College,5
1148,2020,Aga Khan University Medical College,5
1480,2021,Aga Khan University Medical College,5
1144,2020,Abington Memorial Hospital,5
241,2016,York Hospital,4
1953,2022,Yale University School Of Medicine,4
238,2016,Wright State University,4
519,2017,Women And Children'S Hospital Of Buffalo,4
1135,2019,Westchester Medical Center,4
1464,2020,West Virginia University,4
515,2017,Weill Cornell Medical College,4
232,2016,Washington University In St. Louis,4
1716,2021,Wake Forest University School Of Medicine,4
1128,2019,Virginia Tech Carilion School Of Medicine,4
804,2018,Virginia Commonwealth University,4
1713,2021,Vanderbilt University Medical Center,4
1112,2019,University Of Texas Medical Branch,4
1704,2021,University Of Texas Medical Branch,4
494,2017,University Of Texas Md Anderson Cancer Center,4
1921,2022,University Of Tennessee Health Science Center,4
1696,2021,University Of Southern California,4
1104,2019,University Of South Florida College Of Medicine,4
1427,2020,University Of South Alabama,4
1690,2021,University Of Oklahoma College Of Medicine,4
480,2017,University Of Nevada,4
202,2016,University Of Nebraska College Of Medicine,4
1415,2020,University Of Mississippi,4
1093,2019,University Of Minnesota,4
473,2017,University Of Massachusetts Medical School,4
1902,2022,University Of Louisville,4
2210,2023,University Of Louisville,4
195,2016,University Of Kentucky,4
2209,2023,University Of Kentucky,4
1890,2022,University Of California - Irvine,4
456,2017,University Of California - Davis,4
747,2018,University Of California - Davis,4
1388,2020,University Of California - Davis,4
2186,2023,University Of Arkansas For Medical Sciences,4
450,2017,University Of Alberta,4
444,2017,Tulane University School Of Medicine,4
738,2018,Tulane University School Of Medicine,4
1055,2019,Tulane University School Of Medicine,4
1377,2020,Tulane University School Of Medicine,4
2173,2023,Tulane University School Of Medicine,4
443,2017,Tufts Medical Center,4
737,2018,Tufts Medical Center,4
1650,2021,Tufts Medical Center,4
1877,2022,Thomas Jefferson University,4
1367,2020,The Jikei University School Of Medicine,4
1873,2022,Texas Tech University Health Sciences Center,4
714,2018,State University Of New York At Buffalo,4
1868,2022,State University Of New York At Buffalo,4
712,2018,St. Luke'S University Health Network,4
149,2016,Southern Illinois University School Of Medicine,4
1342,2020,Seattle Children'S Hospital,4
405,2017,Scott & White Healthcare,4
1016,2019,San Joaquin General Hospital,4
1014,2019,Saint Louis University School Of Medicine,4
404,2017,Saint Barnabas Medical Center,4
1009,2019,Rutgers Robert Wood Johnson Medical School,4
1008,2019,Rush University Medical Center,4
1860,2022,Rush University Medical Center,4
1852,2022,Price Institute Of Surgical Research,4
1850,2022,Penn Medicine Lancaster General Health,4
991,2019,Oregon Health And Science University,4
1315,2020,Oregon Health And Science University,4
1847,2022,Oregon Health And Science University,4
125,2016,Ohiohealth Grant Medical Center,4
1846,2022,Ohiohealth Grant Medical Center,4
1304,2020,Northwell Health,4
1302,2020,North Shore University And Long Island Jewish Medical Center,4
1300,2020,Niigata University Graduate School Of Medical And Dental Sciences,4
1291,2020,Nationwide Children'S Hospital,4
1828,2022,Nationwide Children'S Hospital,4
1290,2020,National University Of Rwanda,4
1593,2021,Mount Sinai School Of Medicine,4
107,2016,Moffitt Cancer Center And Research Institute,4
655,2018,Moffitt Cancer Center And Research Institute,4
1279,2020,Metrohealth Medical Center,4
103,2016,Medical University Of South Carolina,4
346,2017,Medical University Of South Carolina,4
647,2018,Medical University Of South Carolina,4
951,2019,Mcgovern Medical School At Uthealth And Childrens Memorial Hermann Hospital,4
1580,2021,Mayo Clinic,4
1815,2022,Marshall University School Of Medicine,4
2082,2023,Loyola University Medical Center,4
335,2017,Loyola University Chicago Stritch School Of Medicine,4
634,2018,Loyola University Chicago Stritch School Of Medicine,4
940,2019,Loyola University Chicago Stritch School Of Medicine,4
1809,2022,Louisiana State University Health Sciences Center,4
1807,2022,Lehigh Valley Health Network,4
330,2017,Laboratory For Fetal And Regenerative Biology,4
1229,2020,Holy Cross Hospital,4
1790,2022,Harvard Medical School,4
2047,2023,Guthrie Robert Packer Hospital,4
1785,2022,Georgetown University Medical Center,4
302,2017,George Washington University,4
895,2019,George Washington University,4
893,2019,Geisinger Medical Center,4
1221,2020,Geisinger Medical Center,4
2039,2023,Geisinger Commonwealth School Of Medicine,4
1542,2021,Fox Chase Cancer Center,4
1208,2020,Eastern Virginia Medical School,4
1532,2021,Duke University Medical Center,4
289,2017,Drexel University College Of Medicine,4
584,2018,Drexel University College Of Medicine,4
1205,2020,Drexel University College Of Medicine,4
1203,2020,Department Of Surgery,4
877,2019,Delray Medical Center,4
1769,2022,Delray Medical Center,4
1520,2021,Columbia University Irving Medical Center,4
2003,2023,Columbia University Irving Medical Center,4
40,2016,Cleveland Clinic,4
868,2019,Cleveland Clinic,4
281,2017,City Of Hope National Medical Center,4
867,2019,City Of Hope National Medical Center,4
570,2018,Cincinnati Children'S Hospital Medical Center,4
1999,2023,Children'S Mercy Hospital-University Of Missouri Kansas City,4
568,2018,Children'S Mercy Hospital- University Of Missouri Kansas City,4
1760,2022,Children'S Mercy Hospital- University Of Missouri Kansas City,4
32,2016,Children'S Memorial Hermann Hospital,4
1995,2023,Children'S Hospital Los Angeles,4
1993,2023,Children'S Hospital Boston,4
1174,2020,Cardiovascular Outcomes Research Laboratories (Corelab),4
1978,2023,Brooke Army Medical Center,4
1975,2023,Boston University,4
842,2019,Beth Israel Deaconess Medical Center,4
1735,2022,Albert Einstein College Of Medicine,4
1733,2022,Aga Khan University Medical College,4
2267,2023,Westmead Hospital,3
1465,2020,Westchester Medical Center,3
1948,2022,West Virginia University,3
234,2016,Weill Cornell Medical College,3
1721,2021,Weill Cornell Medical College,3
2261,2023,Weill Cornell Medical College,3
810,2018,Wayne State University,3
2259,2023,Washington University In St. Louis,3
1719,2021,Washington Hospital Center,3
