,smart_institution3,smart_institution2,count,total_count,smart_institution4
74,Baylor College Of Medicine,Baylor College Of Medicine / Michael E. Debakey Va Medical Center,1,226,
1017,Stanford University,Stanford University,179,206,
1019,Stanford University,Stanford University School Of Medicine,18,206,
1018,Stanford University,Stanford University Medical Center,3,206,
1021,Stanford University,University Hospitals,2,206,University Hospitals
1014,Stanford University,Stanford Health Care,1,206,
1015,Stanford University,Stanford Medical School,1,206,
1016,Stanford University,Stanford School Of Medicine And Palo Alto Va Hcs,1,206,
1020,Stanford University,Stanford Univserity,1,206,
614,Massachusetts General Hospital,Massachusetts General Hospital,192,194,
615,Massachusetts General Hospital,Massachusetts General Hospital & Harvard Medical School,1,194,
616,Massachusetts General Hospital,University Of Massachusetts,1,194,University Of Massachusetts Medical School
472,Indiana University School Of Medicine,Indiana University School Of Medicine,186,194,
471,Indiana University School Of Medicine,Indiana University,8,194,
1394,University Of Pittsburgh,University Of Pittsburgh,92,193,
1395,University Of Pittsburgh,University Of Pittsburgh Medical Center,46,193,
1392,University Of Pittsburgh,University Of Pittsburg,43,193,
1396,University Of Pittsburgh,University Of Pittsburgh School Of Medicine,7,193,
1397,University Of Pittsburgh,Va Pittsburgh Healthcare System,4,193,
1393,University Of Pittsburgh,University Of Pittsburg Medical Center,1,193,
1343,University Of Miami,University Of Miami,159,193,
1346,University Of Miami,University Of Miami Miller School Of Medicine,18,193,
1345,University Of Miami,University Of Miami Leonard M. Miller School Of Medicine,10,193,
1344,University Of Miami,University Of Miami - Miller School Of Medicine,2,193,
1342,University Of Miami,Miami Valley Hospital,1,193,Miami Valley Hospital
1347,University Of Miami,University Of Miami- Miller School Of Medicine,1,193,
1348,University Of Miami,University Of Miami/Holy Cross Health,1,193,
1349,University Of Miami,Unversity Of Miami-Miller School Of Medicine,1,193,
1456,University Of Texas Southwestern Medical Center,University Of Texas Southwestern Medical Center,177,182,
1454,University Of Texas Southwestern Medical Center,University Of Texas At Southwestern,3,182,
1455,University Of Texas Southwestern Medical Center,University Of Texas Southwestern,2,182,
1307,University Of Florida,University Of Florida,144,176,
1310,University Of Florida,University Of Florida College Of Medicine Jacksonville,5,176,
1316,University Of Florida,University Of Florida-Jacksonville,5,176,
1311,University Of Florida,University Of Florida College Of Medicine- Jacksonville,4,176,
1312,University Of Florida,University Of Florida College Of Medicine-Jacksonville,3,176,
1314,University Of Florida,University Of Florida Jacksonville,3,176,
1304,University Of Florida,Florida Hospital,2,176,Florida Hospital
1305,University Of Florida,Florida Hospital Tampa,2,176,Florida Hospital
1306,University Of Florida,Florida International University,2,176,Florida International University
1309,University Of Florida,University Of Florida College Of Medicine - Jacksonville,2,176,
1315,University Of Florida,University Of Florida- Jacksonville,2,176,
1308,University Of Florida,University Of Florida College Of Medicine - Gainesville,1,176,
1313,University Of Florida,University Of Florida Com-Jacksonville,1,176,
1605,Yale University School Of Medicine,Yale University School Of Medicine,156,174,
1603,Yale University School Of Medicine,Yale School Of Medicine,9,174,
1604,Yale University School Of Medicine,Yale University,9,174,
108,Brigham And Women'S Hospital,Brigham And Women'S Hospital,166,174,
109,Brigham And Women'S Hospital,Brigham And Womens Hospital,5,174,
107,Brigham And Women'S Hospital,Brigham & Women'S Hospital,1,174,
110,Brigham And Women'S Hospital,Harvard Medical School And Harvard T. H. Chan School Of Public Health. Brigham And Women'S Hospital,1,174,
111,Brigham And Women'S Hospital,Harvard Medical School. Brigham And Women'S Hospital,1,174,
797,Ohio State University,Ohio State University,108,172,
805,Ohio State University,The Ohio State University Wexner Medical Center,20,172,
802,Ohio State University,The Ohio State University,18,172,
798,Ohio State University,Ohio State University Wexner Medical Center,8,172,
810,Ohio State University,The Ohio State Wexner Medical Center,5,172,
799,Ohio State University,Ohio State University Wexner Medical Center And James Comprehensive Cancer Center,4,172,
803,Ohio State University,The Ohio State University College Of Medicine,2,172,
800,Ohio State University,Ohio State University Wexner Medical Center And James Comprehensive Center,1,172,
801,Ohio State University,Ohio University,1,172,Ohio University
804,Ohio State University,The Ohio State University Medical Center,1,172,
806,Ohio State University,The Ohio State University Wexner Medical Center And James Cancer Hospital,1,172,
807,Ohio State University,The Ohio State University Wexner Medical Center And James Cancer Hospital And Solove Research Institute,1,172,
808,Ohio State University,The Ohio State University Wexner Medical Center And James Comprehensive Cancer Center,1,172,
809,Ohio State University,The Ohio State University Wexner Medical Center And Ross Heart Hospital,1,172,
1232,University Of Arizona,University Of Arizona,151,167,
1231,University Of Arizona,The University Of Arizona,8,167,
1233,University Of Arizona,University Of Arizona College Of Medicine,2,167,
1227,University Of Arizona,Banner University Medical Center/ University Of Arizona,1,167,
1228,University Of Arizona,Banner- University Of Arizona,1,167,
1229,University Of Arizona,Banner- University Of Arizona Medical Center,1,167,
1230,University Of Arizona,Banner-University Of Arizona,1,167,
1234,University Of Arizona,University Of Arizona College Of Medicine- Phoenix,1,167,
1235,University Of Arizona,University Of Arizona Medical Center,1,167,
260,David Geffen School Of Medicine,David Geffen School Of Medicine,149,157,University Of California - Los Angeles
261,David Geffen School Of Medicine,David Geffen School Of Medicine At Ucla,7,157,University Of California - Los Angeles
262,David Geffen School Of Medicine,David Geffen School Of Medicine At University Of California Los Angeles,1,157,University Of California - Los Angeles
1294,University Of Colorado Denver,University Of Colorado Denver,135,155,
1292,University Of Colorado Denver,University Of Colorado,13,155,
1295,University Of Colorado Denver,University Of Colorado Hospital,3,155,
1296,University Of Colorado Denver,University Of Colorado-Denver,3,155,
1293,University Of Colorado Denver,University Of Colorado - Denver,1,155,
295,Duke University Medical Center,Duke University Medical Center,127,134,
294,Duke University Medical Center,Duke University,6,134,
293,Duke University Medical Center,Duke,1,134,
1378,University Of North Carolina At Chapel Hill,University Of North Carolina At Chapel Hill,132,132,
1260,University Of California - San Francisco,University Of California - San Francisco,98,132,
1258,University Of California - San Francisco,University Of California,22,132,
1262,University Of California - San Francisco,University Of California San Francisco,10,132,
1259,University Of California - San Francisco,University Of California - Berkeley / University Of California - San Francisco,1,132,
1261,University Of California - San Francisco,University Of California - San Francisco ,1,132,
336,Feinberg School Of Medicine - Northwestern University,Feinberg School Of Medicine - Northwestern University,118,119,Northwestern University
335,Feinberg School Of Medicine - Northwestern University,Feinberg School Of Medicine,1,119,Northwestern University
1479,University Of Virginia,University Of Virginia,90,116,
1484,University Of Virginia,Virginia Tech Carilion School Of Medicine,9,116,Virginia Tech Carilion School Of Medicine
1480,University Of Virginia,University Of Virginia Health System,5,116,
1481,University Of Virginia,University Of Virginia School Of Medicine,4,116,
1478,University Of Virginia,Carilion Clinic-Virginia Tech Carilion School Of Medicine,3,116,Virginia Tech Carilion School Of Medicine
1483,University Of Virginia,Virginia Tech,2,116,Virginia Tech Carilion School Of Medicine
1477,University Of Virginia,Carilion Clinic -Virginia Tech Carilion School Of Medicine,1,116,Virginia Tech Carilion School Of Medicine
1482,University Of Virginia,Virginia Hospital Center,1,116,Virginia Hospital Center
1485,University Of Virginia,Virginia Tech Carilion School Of Medicine And Research Institute,1,116,Virginia Tech Carilion School Of Medicine
1064,Temple University,Temple University,93,115,
1065,Temple University,Temple University Hospital,12,115,
1063,Temple University,Lewis Katz School Of Medicine At Temple University,8,115,
1062,Temple University,Baylor Scott & White Medical Center-Temple,1,115,Baylor Scott & White Medical Center-Temple
1066,Temple University,Temple University School Of Medicine,1,115,
1280,University Of Chicago,University Of Chicago,97,109,
1278,University Of Chicago,The University Of Chicago,3,109,
1279,University Of Chicago,The University Of Chicago Medicine,2,109,
1281,University Of Chicago,University Of Chicago Medicine,2,109,
1282,University Of Chicago,University Of Chicago Pritzker School Of Medicine,2,109,
1275,University Of Chicago,Acclivus Inc. Chicago,1,109,Acclivus Inc. Chicago
1276,University Of Chicago,Chicago Medical School At Rosalind Franklin University,1,109,Chicago Medical School At Rosalind Franklin University
1277,University Of Chicago,Pritzker School Of Medicine At The University Of Chicago,1,109,
1468,University Of Utah,University Of Utah,97,104,
1469,University Of Utah,University Of Utah Health,3,104,
1471,University Of Utah,University Of Utah School Of Medicine,3,104,
1470,University Of Utah,University Of Utah Health Sciences,1,104,
1284,University Of Cincinnati,University Of Cincinnati,98,101,
1283,University Of Cincinnati,Cincinnati Research On Education In Surgical Training (Crest),1,101,
1285,University Of Cincinnati,University Of Cincinnati College Of Medicine,1,101,
1286,University Of Cincinnati,University Of Cincinnati Medical School,1,101,
1442,University Of Texas Health Science Center At Houston,University Of Texas Health Science Center At Houston,91,100,
1438,University Of Texas Health Science Center At Houston,Mcgovern Medical School At The University Of Texas Health Science Center At Houston,5,100,
1441,University Of Texas Health Science Center At Houston,The University Of Texas Health Science Center At Houston,2,100,
1439,University Of Texas Health Science Center At Houston,Mcgovern Medical School At The University Of Texas Health Science Center At Houston (Uthealth Houston),1,100,
1440,University Of Texas Health Science Center At Houston,The Univeristy Of Texas Health Science Center At Houston,1,100,
89,Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,91,92,
90,Beth Israel Deaconess Medical Center,Beth Israel Deconess Medical Center,1,92,
1251,University Of California - Los Angeles,University Of California - Los Angeles,84,90,
1250,University Of California - Los Angeles,Harbor-University Of California Los Angeles Medical Center,2,90,Harbor-University Of California Los Angeles Medical Center
1252,University Of California - Los Angeles,University Of California At Los Angeles,2,90,
1253,University Of California - Los Angeles,University Of California Los Angeles,2,90,
194,Children'S Mercy Hospital- University Of Missouri Kansas City,Children'S Mercy Hospital- University Of Missouri Kansas City,36,88,
198,Children'S Mercy Hospital- University Of Missouri Kansas City,University Of Missouri,24,88,
196,Children'S Mercy Hospital- University Of Missouri Kansas City,University Of Kansas,13,88,University Of Kansas
197,Children'S Mercy Hospital- University Of Missouri Kansas City,University Of Kansas Medical Center,11,88,University Of Kansas Medical Center
195,Children'S Mercy Hospital- University Of Missouri Kansas City,Kansas City University,2,88,Kansas City University
199,Children'S Mercy Hospital- University Of Missouri Kansas City,University Of Missouri Kansas City,2,88,
1525,Vanderbilt University Medical Center,Vanderbilt University Medical Center,81,87,
1524,Vanderbilt University Medical Center,Vanderbilt University,4,87,
1526,Vanderbilt University Medical Center,Vanderbilt University School Of Medicine,2,87,
914,Roswell Park Cancer Institute,Roswell Park Cancer Institute,75,77,
912,Roswell Park Cancer Institute,Cancer Institute Hospital,1,77,Cancer Institute Hospital
913,Roswell Park Cancer Institute,Roswell Park,1,77,
1256,University Of California - San Diego,University Of California - San Diego,69,74,
1257,University Of California - San Diego,University Of California San Diego,5,74,
1331,University Of Louisville,University Of Louisville,64,71,
1332,University Of Louisville,University Of Louisville School Of Medicine,7,71,
686,Mount Sinai School Of Medicine,Mount Sinai School Of Medicine,41,69,
684,Mount Sinai School Of Medicine,Icahn School Of Medicine At Mount Sinai,20,69,
685,Mount Sinai School Of Medicine,Mount Sinai Hospital,8,69,
716,New Jersey Medical School,New Jersey Medical School,35,68,
719,New Jersey Medical School,Rutgers New Jersey Medical School,27,68,
722,New Jersey Medical School,Rutgers-New Jersey Medical School,2,68,
717,New Jersey Medical School,Rutgers - New Jersey Medical School,1,68,
718,New Jersey Medical School,Rutgers Health New Jersey Medical School,1,68,
720,New Jersey Medical School,Rutgers New Jersey Medical School/ University Hospital,1,68,
721,New Jersey Medical School,Rutgers New Jersey Medical School/University Hospital,1,68,
633,Mcgovern Medical School At Uthealth,Mcgovern Medical School At Uthealth,49,68,University Of Texas Health Science Center At Houston
631,Mcgovern Medical School At Uthealth,Mcgovern Medical School,16,68,University Of Texas Health Science Center At Houston
632,Mcgovern Medical School At Uthealth,Mcgovern Medical School At Ut Health,2,68,University Of Texas Health Science Center At Houston
634,Mcgovern Medical School At Uthealth,Uthealth Medical School,1,68,University Of Texas Health Science Center At Houston
621,Mayo Clinic,Mayo Clinic,68,68,
1428,University Of Tennessee Health Science Center,University Of Tennessee Health Science Center,39,67,
1426,University Of Tennessee Health Science Center,Univeristy Of Tennessee Health Science Center,14,67,
1431,University Of Tennessee Health Science Center,University Of Tennessee Medical Center,5,67,
1430,University Of Tennessee Health Science Center,University Of Tennessee Health Sciences Center,4,67,
1425,University Of Tennessee Health Science Center,The University Of Tennessee Health Science Center,2,67,
1427,University Of Tennessee Health Science Center,University Of Tennessee,2,67,
1429,University Of Tennessee Health Science Center,University Of Tennessee Health Science Center (Uthsc),1,67,
319,Emory University School Of Medicine,Emory University School Of Medicine,56,66,
317,Emory University School Of Medicine,Emory University,8,66,
318,Emory University School Of Medicine,Emory University Hospital,1,66,
320,Emory University School Of Medicine,Emory Univesity School Of Medicine,1,66,
672,Moffitt Cancer Center And Research Institute,Moffitt Cancer Center And Research Institute,36,64,
671,Moffitt Cancer Center And Research Institute,Moffitt Cancer Center,28,64,
1325,University Of Iowa,University Of Iowa,55,63,
1327,University Of Iowa,University Of Iowa Hospitals And Clinics,5,63,
1326,University Of Iowa,University Of Iowa Hospitals & Clinics,2,63,
1324,University Of Iowa,Universisty Of Iowa,1,63,
1146,Thomas Jefferson University,Thomas Jefferson University,54,62,
1147,Thomas Jefferson University,Thomas Jefferson University Hospital,8,62,
1449,University Of Texas Medical Branch,University Of Texas Medical Branch,58,61,
1447,University Of Texas Medical Branch,The University Of Texas Medical Branch,2,61,
1448,University Of Texas Medical Branch,The University Of Texas Medical Branch At Galveston,1,61,
174,Children'S Hospital Los Angeles,Children'S Hospital Los Angeles,59,61,
175,Children'S Hospital Los Angeles,Children'S Hospital Of Los Angeles,1,61,
176,Children'S Hospital Los Angeles,Childrens Hospital Of Los Angeles,1,61,
99,Boston University,Boston University,24,60,
98,Boston University,Boston Medical Center,14,60,
102,Boston University,Boston University School Of Medicine,10,60,
103,Boston University,Va Boston Healthcare System,6,60,
100,Boston University,Boston University Chobanian & Avedisian School Of Medicine,4,60,
101,Boston University,Boston University Medical Center,2,60,
1557,Washington University,Washington University,49,59,Washington University
1556,Washington University,University Of Washington,10,59,
20,Aga Khan University Medical College,Aga Khan University Medical College,50,57,
19,Aga Khan University Medical College,Aga Khan University Hospital,4,57,
18,Aga Khan University Medical College,Aga Khan University,3,57,
771,Northwestern University,Northwestern University,55,55,Northwestern University
584,Louisiana State University Health Sciences Center,Louisiana State University Health Sciences Center,47,55,
585,Louisiana State University Health Sciences Center,Louisiana State University Health Sciences Center - Shreveport,2,55,
586,Louisiana State University Health Sciences Center,Louisiana State University Health Sciences Center Shreveport,2,55,
588,Louisiana State University Health Sciences Center,Louisiana State University Health Sciences Center-Shreveport,2,55,
583,Louisiana State University Health Sciences Center,Louisiana State University Health Science Center,1,55,
587,Louisiana State University Health Sciences Center,Louisiana State University Health Sciences Center- Shreveport,1,55,
455,Howard University College Of Medicine,Howard University College Of Medicine,52,54,
454,Howard University College Of Medicine,Howard University,1,54,
456,Howard University College Of Medicine,Howard University Hospital,1,54,
1411,University Of South Florida College Of Medicine,University Of South Florida College Of Medicine,42,51,
1410,University Of South Florida College Of Medicine,University Of Florida College Of Medicine,9,51,
1368,University Of Nebraska College Of Medicine,University Of Nebraska College Of Medicine,35,51,
1369,University Of Nebraska College Of Medicine,University Of Nebraska Medical Center,14,51,
1366,University Of Nebraska College Of Medicine,Nebraska Medical Center,1,51,
1367,University Of Nebraska College Of Medicine,University Of Nebraska,1,51,
122,Brown University School Of Medicine,Brown University School Of Medicine,43,51,
121,Brown University School Of Medicine,Brown University,8,51,
349,Fox Chase Cancer Center,Fox Chase Cancer Center,50,50,
142,Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,48,50,
141,Cedars-Sinai Medical Center,Cedars-Sinai,1,50,
143,Cedars-Sinai Medical Center,Sinai Hospital,1,50,Sinai Hospital
1248,University Of California - Irvine,University Of California - Irvine,48,49,
1249,University Of California - Irvine,University Of California Irvine,1,49,
1330,University Of Kentucky,University Of Kentucky,48,48,
1400,University Of Rochester,University Of Rochester,38,47,
1401,University Of Rochester,University Of Rochester Medical Center,7,47,
1402,University Of Rochester,University Of Rochester Medical Center - Strong Memorial Hospital,1,47,
1403,University Of Rochester,University Of Rochester School Of Medicine And Dentistry,1,47,
1595,Wright State University,Wright State University,39,46,
1596,Wright State University,Wright State University Boonshoft School Of Medicine,6,46,
1594,Wright State University,Wright State Physicians,1,46,
739,New York University School Of Medicine,New York University School Of Medicine,35,43,
740,New York University School Of Medicine,York Hospital,5,43,York Hospital
737,New York University School Of Medicine,New York University,2,43,
738,New York University School Of Medicine,New York University Long Island School Of Medicine,1,43,
412,Harvard Medical School,Harvard Medical School,42,43,
413,Harvard Medical School,Program In Global Surgery And Social Change At Harvard Medical School,1,43,
1474,University Of Vermont College Of Medicine / Fletcher Allen Health Care,University Of Vermont College Of Medicine / Fletcher Allen Health Care,34,41,
1475,University Of Vermont College Of Medicine / Fletcher Allen Health Care,University Of Vermont Medical Center,3,41,
1472,University Of Vermont College Of Medicine / Fletcher Allen Health Care,University Of Vermont,2,41,
1473,University Of Vermont College Of Medicine / Fletcher Allen Health Care,University Of Vermont College Of Medicine,2,41,
1334,University Of Maryland,University Of Maryland,32,41,
1335,University Of Maryland,University Of Maryland Medical Center,5,41,
1337,University Of Maryland,University Of Maryland School Of Medicine,3,41,
1336,University Of Maryland,University Of Maryland R A Cowley Shock Trauma Center,1,41,
1038,Stony Brook University Medical Center,Stony Brook University Medical Center,35,41,
1035,Stony Brook University Medical Center,Renaissance School Of Medicine At Stony Brook University,3,41,
1036,Stony Brook University Medical Center,Stony Brook University,2,41,
1037,Stony Brook University Medical Center,Stony Brook University Hospital,1,41,
920,Rush University Medical Center,Rush University Medical Center,41,41,
1566,Weill Cornell Medical College,Weill Cornell Medical College,40,40,
138,Carolinas Medical Center,Carolinas Medical Center,37,40,
137,Carolinas Medical Center,Carolinas Healthcare System,3,40,
1024,State University Of New York At Buffalo,State University Of New York At Buffalo,33,39,
1023,State University Of New York At Buffalo,State University Of New York,2,39,
1025,State University Of New York At Buffalo,University At Buffalo,2,39,
1026,State University Of New York At Buffalo,University Of Buffalo,2,39,
749,Niigata University Graduate School Of Medical And Dental Sciences,Niigata University Graduate School Of Medical And Dental Sciences,38,39,
748,Niigata University Graduate School Of Medical And Dental Sciences,Niigata University,1,39,
264,Delray Medical Center,Delray Medical Center,39,39,
1536,Virginia Commonwealth University,Virginia Commonwealth University,37,38,
1537,Virginia Commonwealth University,Virginia Commonwealth University Medical Center,1,38,
373,Georgetown University Medical Center,Georgetown University Medical Center,22,38,
374,Georgetown University Medical Center,Georgetown University School Of Medicine,6,38,
375,Georgetown University Medical Center,Medstar Georgetown University Hospital,4,38,
371,Georgetown University Medical Center,Georgetown University,2,38,
376,Georgetown University Medical Center,Medstar-Georgetown Surgical Outcomes Research Center,2,38,
372,Georgetown University Medical Center,Georgetown University Law Center,1,38,
377,Georgetown University Medical Center,Medstar-Georgetown University Medical Center,1,38,
254,Dartmouth Hitchcock Medical Center,Dartmouth Hitchcock Medical Center,18,37,
256,Dartmouth Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,13,37,
255,Dartmouth Hitchcock Medical Center,Dartmouth-Hitchcock,2,37,
251,Dartmouth Hitchcock Medical Center,Dartmouth,1,37,
252,Dartmouth Hitchcock Medical Center,Dartmouth Hitchcock,1,37,
253,Dartmouth Hitchcock Medical Center,Dartmouth Hitchcock Health,1,37,
257,Dartmouth Hitchcock Medical Center,Dartmouth-Hitchock Medical Center,1,37,
699,Nationwide Children'S Hospital,Nationwide Children'S Hospital,35,36,
700,Nationwide Children'S Hospital,Nationwide Childrens Hospital,1,36,
1446,University Of Texas Md Anderson Cancer Center,University Of Texas Md Anderson Cancer Center,33,35,
1444,University Of Texas Md Anderson Cancer Center,Md Anderson Cancer Center,1,35,
1445,University Of Texas Md Anderson Cancer Center,The University Of Texas Md Anderson Cancer Center,1,35,
1210,University Hospitals Cleveland Medical Center,University Hospitals Cleveland Medical Center,28,35,
1208,University Hospitals Cleveland Medical Center,University Hospital Cleveland Medical Center,5,35,
1209,University Hospitals Cleveland Medical Center,University Hospitals Cleveland,2,35,
1081,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center,20,35,
1079,Texas Tech University Health Sciences Center,Texas Tech University Health Science Center,4,35,
1080,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences,3,35,
1078,Texas Tech University Health Sciences Center,Texas Tech University,2,35,
1083,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center El Paso,2,35,
1077,Texas Tech University Health Sciences Center,Texas Tech Health Sciences Center,1,35,
1082,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center At El Paso,1,35,
1084,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center In El Paso,1,35,
1085,Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center In El Paso Paul L. Foster School Of Medicine,1,35,
1359,University Of Minnesota,University Of Minnesota,33,34,
1360,University Of Minnesota,University Of Minnesota Medical School,1,34,
1165,Tulane University School Of Medicine,Tulane University School Of Medicine,33,34,
1164,Tulane University School Of Medicine,Tulane University,1,34,
1070,Texas Children'S Hospital,Texas Children'S Hospital,34,34,
590,Loyola University Chicago Stritch School Of Medicine,Loyola University Chicago Stritch School Of Medicine,34,34,
1465,University Of Toledo Medical Center,University Of Toledo Medical Center,23,33,
1463,University Of Toledo Medical Center,University Of Toledo,5,33,
1464,University Of Toledo Medical Center,University Of Toledo College Of Medicine And Life Sciences,3,33,
1461,University Of Toledo Medical Center,The University Of Toledo College Of Medicine,1,33,
1462,University Of Toledo Medical Center,The University Of Toledo Medical Center,1,33,
1416,University Of Southern California,University Of Southern California,33,33,
853,Penn State Hershey Medical Center,Penn State Hershey Medical Center,32,33,
852,Penn State Hershey Medical Center,Penn State Health Hershey Medical Center,1,33,
1246,University Of California - Davis,University Of California - Davis,31,32,
1247,University Of California - Davis,University Of California Davis Medical Center,1,32,
1238,University Of Arkansas For Medical Sciences,University Of Arkansas For Medical Sciences,25,32,
1236,University Of Arkansas For Medical Sciences,University Of Arkansas,4,32,
1239,University Of Arkansas For Medical Sciences,University Of Arkansas For Medical Sciences (Uams),2,32,
1237,University Of Arkansas For Medical Sciences,University Of Arkansas For Medical Science,1,32,
855,Penn State University College Of Medicine,Penn State University College Of Medicine,30,32,Penn State Hershey Medical Center
854,Penn State University College Of Medicine,Penn State College Of Medicine,2,32,Penn State Hershey Medical Center
140,Case Western Reserve University School Of Medicine,Case Western Reserve University School Of Medicine,31,31,
1547,Wake Forest University School Of Medicine,Wake Forest University School Of Medicine,27,30,
1546,Wake Forest University School Of Medicine,Wake Forest University,2,30,
1545,Wake Forest University School Of Medicine,Wake Forest School Of Medicine,1,30,
1338,University Of Massachusetts Medical School,University Of Massachusetts Medical School,30,30,
930,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson Medical School,13,30,
926,Rutgers Robert Wood Johnson Medical School,Rutgers,6,30,
928,Rutgers Robert Wood Johnson Medical School,Rutgers Cancer Institute Of New Jersey And Rutgers Robert Wood Johnson Medical School,3,30,
933,Rutgers Robert Wood Johnson Medical School,Rutgers-Robert Wood Johnson Medical School,3,30,
927,Rutgers Robert Wood Johnson Medical School,Rutgers - Robert Wood Johnson Medical School,1,30,
929,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson,1,30,
931,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson University Hospital,1,30,
932,Rutgers Robert Wood Johnson Medical School,Rutgers University - Robert Wood Johnson Medical School,1,30,
934,Rutgers Robert Wood Johnson Medical School,Rutgers-Robert Wood Johnson University Hospital,1,30,
814,Ohiohealth Grant Medical Center,Ohiohealth Grant Medical Center,15,29,
813,Ohiohealth Grant Medical Center,Grant Medical Center,13,29,
815,Ohiohealth Grant Medical Center,Ohiohealth/Grant Medical Center,1,29,
220,Cleveland Clinic,Cleveland Clinic,26,29,
221,Cleveland Clinic,Cleveland Clinic Foundation,3,29,
1158,Tufts Medical Center,Tufts Medical Center,20,28,
1161,Tufts Medical Center,Tufts University School Of Medicine,4,28,
1159,Tufts Medical Center,Tufts University,1,28,
1160,Tufts Medical Center,Tufts University Medical School,1,28,
1162,Tufts Medical Center,Tufts University School Of Medicine - Maine Medical Center,1,28,
1163,Tufts Medical Center,Tufts University School Of Medicine-Maine Medical Center,1,28,
591,Loyola University Medical Center,Loyola University Medical Center,28,28,
1564,Wayne State University,Wayne State University,23,27,
1563,Wayne State University,Henry Ford Health System/Wayne State University,4,27,
753,North Shore University And Long Island Jewish Medical Center,North Shore University And Long Island Jewish Medical Center,27,27,
1490,University Of Wisconsin School Of Medicine And Public Health,University Of Wisconsin School Of Medicine And Public Health,24,26,University of Wisconsin
1488,University Of Wisconsin School Of Medicine And Public Health,University Of Wi School Of Medicine And Public Health,1,26,University of Wisconsin
1489,University Of Wisconsin School Of Medicine And Public Health,University Of Wisconsin Madison School Of Medicine And Public Health,1,26,University of Wisconsin
1048,Suny Downstate Health Sciences University,Suny Downstate Health Sciences University,12,26,
1049,Suny Downstate Health Sciences University,Suny Downstate Medical Center,7,26,
1046,Suny Downstate Health Sciences University,Downstate Health Sciences University,6,26,
1047,Suny Downstate Health Sciences University,Suny Downstate,1,26,
823,Oregon Health And Science University,Oregon Health And Science University,21,26,
824,Oregon Health And Science University,Oregon Health And Sciences University,4,26,
822,Oregon Health And Science University,Oregon Health & Science University,1,26,
645,Medical University Of South Carolina,Medical University Of South Carolina,26,26,
414,Harvard School Of Medicine,Harvard School Of Medicine,26,26,Harvard Medical School
